id,displayName,mailEnabled,securityEnabled,groupTypes,onPremisesSyncEnabled,mail,isAssignableToRole,writebackConfiguration,isManagementRestricted,resourceProvisioningOptions,expirationDateTime,createdDateTime,membershipRuleProcessingState,dynamicMembershipPriority
02c8f402-3d7e-4ddb-a81f-e0250dc0c823,sg_IT,False,True,"[""DynamicMembership""]",,,,"{""isEnabled"":null,""onPremisesGroupType"":null}",,[],,2026-07-17T18:40:51Z,On,
0c0ca114-cf31-48bf-8c53-048421781d61,m365_CreativeTeam,True,True,"[""DynamicMembership"",""Unified""]",,m365_CreativeTeam@jsg1220outlook.onmicrosoft.com,,"{""isEnabled"":null,""onPremisesGroupType"":null}",,[],,2026-07-16T19:01:25Z,On,
10cebd68-58d6-451c-a507-7575b1b74502,sg_Art,False,True,"[""DynamicMembership""]",,,,"{""isEnabled"":null,""onPremisesGroupType"":null}",,[],,2026-06-30T21:04:27Z,On,
136a8378-2b84-45c3-81ce-1dfcbc05da3e,m365_Marketing,True,True,"[""DynamicMembership"",""Unified""]",,m365_Marketing@jsg1220outlook.onmicrosoft.com,,"{""isEnabled"":null,""onPremisesGroupType"":null}",,[],,2026-07-16T19:02:05Z,On,
2197d376-0c4c-4943-9d45-82aa091157ce,sg_MissingAttributes,False,True,"[""DynamicMembership""]",,,,"{""isEnabled"":null,""onPremisesGroupType"":null}",,[],,2026-07-23T18:30:18Z,On,
24aef5d3-45d2-4005-9a37-41932f230ba7,sg_Design,False,True,"[""DynamicMembership""]",,,,"{""isEnabled"":null,""onPremisesGroupType"":null}",,[],,2026-06-30T21:05:00Z,On,
38c2b942-899b-48b2-b218-f9e98b938ded,sg_EngineeringLeadership,False,True,[],,,,"{""isEnabled"":null,""onPremisesGroupType"":null}",,[],,2026-07-22T00:53:14Z,,
4080fed5-cb35-462a-8748-60cb483c7a9b,m365_HROperations,True,True,"[""DynamicMembership"",""Unified""]",,m365_HR@jsg1220outlook.onmicrosoft.com,,"{""isEnabled"":null,""onPremisesGroupType"":null}",,[],,2026-07-16T19:02:37Z,On,
6cd62042-ad6e-4172-b6e7-b2953b21e040,m365_CustomerSuccess,True,True,"[""DynamicMembership"",""Unified""]",,m365_CustomerSuccess@jsg1220outlook.onmicrosoft.com,,"{""isEnabled"":null,""onPremisesGroupType"":null}",,[],,2026-07-16T19:03:00Z,On,
6f118d66-f35d-4a9c-9ae3-ec9af6fe0df6,sg_HumanResource,False,True,"[""DynamicMembership""]",,,,"{""isEnabled"":null,""onPremisesGroupType"":null}",,[],,2026-07-17T21:08:47Z,On,
7e862e56-5fab-4fe7-83b3-bdcd79ba61e9,m365_GameDevTeam,True,True,"[""DynamicMembership"",""Unified""]",,m365_GameDevTeam@jsg1220outlook.onmicrosoft.com,,"{""isEnabled"":null,""onPremisesGroupType"":null}",,[],,2026-07-16T19:01:03Z,On,
814bea7f-0a0f-45fc-a40c-d18848177503,sg_Engineering,False,True,"[""DynamicMembership""]",,,,"{""isEnabled"":null,""onPremisesGroupType"":null}",,[],,2026-06-30T21:04:10Z,On,
963c17ca-4a2e-4119-bfe9-aea0ecaf2a8a,sg_DepartmentLeaders,False,True,[],,,,"{""isEnabled"":null,""onPremisesGroupType"":null}",,[],,2026-07-22T00:53:44Z,,
9f202e90-1871-4f78-a6fe-8dd257744e77,SSPR_Enabled,False,True,[],,,,"{""isEnabled"":null,""onPremisesGroupType"":null}",,[],,2024-08-07T15:55:54Z,,
a5f5ae2c-6c09-45e6-819b-71659aa50bf7,sg_Creative Leadership,False,True,"[""DynamicMembership""]",,,,"{""isEnabled"":null,""onPremisesGroupType"":null}",,[],,2026-06-30T21:03:23Z,On,
acbe7284-1b45-40e6-9346-92cacdd321b5,m365_ITOps,True,True,"[""DynamicMembership"",""Unified""]",,m365_ITOps@jsg1220outlook.onmicrosoft.com,,"{""isEnabled"":null,""onPremisesGroupType"":null}",,[],,2026-07-16T19:01:46Z,On,
b1795342-324a-426f-9a82-dc5d2febaa58,sg_Executive,False,True,"[""DynamicMembership""]",,,,"{""isEnabled"":null,""onPremisesGroupType"":null}",,[],,2026-07-16T21:11:14Z,On,
c2bb1ff6-ce2b-40b2-aa81-4c754903bf7b,sg_All employees,False,True,"[""DynamicMembership""]",,,,"{""isEnabled"":null,""onPremisesGroupType"":null}",,[],,2026-07-17T20:28:14Z,On,
cfecaea0-adc9-4aa1-83be-71908384d43d,sg_ITAdmins,False,True,[],,,,"{""isEnabled"":null,""onPremisesGroupType"":null}",,[],,2026-07-22T00:53:28Z,,
dd9e3a39-487f-4473-8b1b-3bad96eda446,sg_Audio,False,True,"[""DynamicMembership""]",,,,"{""isEnabled"":null,""onPremisesGroupType"":null}",,[],,2026-06-30T21:05:15Z,On,
fa8d788b-9baf-4f5d-b278-8ae61615d7ae,sg_marketing,False,True,"[""DynamicMembership""]",,,,"{""isEnabled"":null,""onPremisesGroupType"":null}",,[],,2026-07-17T21:05:16Z,On,
fe6a9271-2cdd-44a3-a66a-54246b8292db,sg_Customer Support,False,True,"[""DynamicMembership""]",,,,"{""isEnabled"":null,""onPremisesGroupType"":null}",,[],,2026-06-30T21:06:48Z,On,
